"department","class number","dept and classnumber combined","course name","description","prerequisites classes"
"ECE","161A","ECE-161A","Introduction to Digital Signal Processing","Review of discrete-time systems and signals, Discrete-Time Fourier Transform and its properties, the Fast Fourier Transform, design of Finite Impulse Response (FIR) and Infinite Impulse Response (IIR) filters, implementation of digital filters. May be coscheduled with SIOC 207A.","ECE 101"
"ECE","161B","ECE-161B","Digital Signal Processing","Sampling and quantization of baseband signals; A/D and D/A conversion, quantization noise, oversampling and noise shaping. Sampling of bandpass signals, undersampling downconversion, and Hilbert transforms. Coefficient quantization, roundoff noise, limit cycles, and overflow oscillations. Insensitive filter structures, lattice and wave digital filters, multirate signal processing. Systems will be designed and tested with MATLAB and C.","ECE 161A"
"ECE","161C","ECE-161C","Applications of Digital Signal Processing","This course discusses several applications of DSP. Topics covered will include speech analysis and coding; image and video compression and processing. A class project is required, algorithms simulated by MATLAB.","ECE 161A"
"ECE","163","ECE-163","Electronic Circuits and Systems","Analysis and design of analog circuits and systems. Feedback systems with applications to operational amplifier circuits. Stability, sensitivity, bandwidth, compensation. Design of active filters. Switched capacitor circuits. Phase-locked loops. Analog-to-digital and digital-to-analog conversion. (Course materials and/or program fees may apply.)","ECE 101, ECE 102"
"ECE","164","ECE-164","Analog Integrated Circuit Design","Design of linear and nonlinear analog integrated circuits including operational amplifiers, voltage regulators, drivers, power stages, oscillators, and multipliers. Use of feedback and evaluation of noise performance. Parasitic effects of integrated circuit technology. Laboratory simulation and testing of circuits.","ECE 102"
"ECE","165","ECE-165","Digital Integrated Circuit Design","VLSI digital systems. Circuit characterization, performance estimation, and optimization. Circuits for alternative logic styles and clocking schemes. Subsystems include ALUs, memory, processor arrays, and PLAs. Techniques for gate arrays, standard cell, and custom design. Design and simulation using CAD tools. Students may not receive credit for both ECE 165 and ECE 108.","ECE 102"
"ECE","166","ECE-166","Microwave Systems and Circuits","Waves, distributed circuits, and scattering matrix methods. Passive microwave elements. Impedance matching. Detection and frequency conversion using microwave diodes. Design of transistor amplifiers including noise performance. Circuits designs will be simulated by computer and tested in the laboratory. (Course materials and/or program fees may apply.)","ECE 102, ECE 107"
"ECE","171A","ECE-171A","Linear Control System Theory","Stability of continuous- and discrete-time single-input/single-output linear time-invariant control systems emphasizing frequency domain methods. Transient and steady-state behavior. Stability analysis by root locus, Bode, Nyquist, and Nichols plots. Compensator design.","ECE 45"
"ECE","171B","ECE-171B","Linear Control System Theory","Time-domain, state-variable formulation of the control problem for both discrete-time and continuous-time linear systems. State-space realizations from transfer function system description. Internal and input-output stability, controllability/observability, minimal realizations, and pole-placement by full-state feedback.","ECE 171A"
"ECE","172A","ECE-172A","Introduction to Intelligent Systems: Robotics and Machine Intelligence","This course will introduce basic concepts in machine perception. Topics covered will include edge detection, segmentation, texture analysis, image registration, and compression.","ECE 101"
"ECE","174","ECE-174","Introduction to Linear and Nonlinear Optimization with Applications","The linear least squares problem, including constrained and unconstrained quadratic optimization and the relationship to the geometry of linear transformations. Introduction to nonlinear optimization. Applications to signal processing, system identification, robotics, and circuit design. Recommended preparation: ECE 143 (for Python) or equivalent proficiency in MATLAB programming.","MATH 18 or MATH 31AH, ECE 15"
"ECE","175A","ECE-175A","Elements of Machine Intelligence: Pattern Recognition and Machine Learning","Introduction to pattern recognition and machine learning. Decision functions. Statistical pattern classifiers. Generative vs. discriminant methods for pattern classification. Feature selection. Regression. Unsupervised learning. Clustering. Applications of machine learning.","ECE 109, ECE 174"
"ECE","175B","ECE-175B","Elements of Machine Intelligence: Probabilistic Reasoning and Graphical Models","Bayes’ rule as a probabilistic reasoning engine; graphical models as knowledge encoders; conditional independence and D-Separation; Markov random fields; inference in graphical models; sampling methods and Markov Chain Monte Carlo (MCMC); sequential data and the Viterbi and BCJR algorithms; The Baum-Welsh algorithm for Markov Chain parameter estimation.","ECE 175A"
